rec1487419513_14200.npz,133,155,166,179,car
rec1487419513_14300.npz,100,155,135,176,car
rec1487419513_14300.npz,173,155,190,170,car
rec1487419513_14400.npz,145,156,160,168,car
rec1487419513_14400.npz,180,156,193,168,car
rec1487419513_14500.npz,32,157,60,169,car
rec1487419513_14500.npz,158,157,171,166,car
rec1487419513_14500.npz,180,157,191,168,car
rec1487419513_14600.npz,162,156,171,166,car
rec1487419513_14600.npz,174,158,183,166,car
rec1487419513_14700.npz,66,154,85,164,car
rec1487419513_14700.npz,94,153,113,164,car
rec1487419513_14700.npz,167,156,176,166,car
rec1487419513_14700.npz,179,158,185,164,car
rec1487419513_15100.npz,1,146,76,203,car
rec1487419513_15200.npz,98,152,137,176,car
rec1487419513_15300.npz,16,154,84,193,car
rec1487419513_15300.npz,136,155,153,170,car
rec1487419513_15400.npz,3,151,33,166,car
rec1487419513_15400.npz,120,155,146,172,car
rec1487419513_15500.npz,18,150,58,170,car
rec1487419513_15500.npz,140,157,155,168,car
rec1487419513_17600.npz,9,153,92,193,car
rec1487419513_19200.npz,31,149,106,193,car
rec1487419513_19300.npz,116,153,152,177,car
rec1487419513_19400.npz,152,155,172,171,car
rec1487419513_21600.npz,203,155,217,168,car
rec1487419513_21700.npz,203,155,219,169,car
rec1487419513_21800.npz,204,156,221,170,car
rec1487419513_21900.npz,208,156,227,171,car
rec1487419513_22000.npz,7,156,37,173,car
rec1487419513_22000.npz,208,153,234,172,car
rec1487419513_22100.npz,210,153,237,174,car
rec1487419513_22200.npz,22,142,103,196,car
rec1487419513_22200.npz,214,154,240,176,car
rec1487419513_22300.npz,108,153,141,177,car
rec1487419513_22300.npz,213,154,239,176,car
rec1487419513_22400.npz,140,157,159,171,car
rec1487419513_22400.npz,213,155,238,176,car
rec1487419513_22500.npz,161,156,175,168,car
rec1487419513_22500.npz,210,155,237,175,car
rec1487419513_22600.npz,2,129,50,164,car
rec1487419513_22600.npz,213,155,239,175,car
rec1487419513_22700.npz,220,154,244,175,car
rec1487419513_22800.npz,220,155,250,175,car
rec1487419513_22900.npz,223,154,250,177,car
rec1487419513_23000.npz,225,156,253,177,car
rec1487419513_23100.npz,219,155,250,176,car
rec1487419513_23200.npz,216,155,247,176,car
rec1487419513_23600.npz,262,152,338,201,car
rec1487419513_24700.npz,3,148,91,196,car
rec1487419513_24800.npz,81,151,128,180,car
rec1487419513_24900.npz,112,155,142,177,car
rec1487419513_26800.npz,4,123,84,201,car
rec1487419513_26900.npz,87,146,127,179,car
rec1487419513_2700.npz,169,157,186,169,car
